"Title","Year","Description","Directors","Collections","Duration","Actors"
"Valerie and Her Week of Wonders (1970) (FC)","0","A girl on the verge of womanhood finds herself in a sensual fantasyland of vampires, witchcraft, and other threats in this eerie and mystical movie daydream. VALERIE AND HER WEEK OF WONDERS serves up an endlessly looping, nonlinear fairy tale, set in a quasi-medieval landscape. Ravishingly shot, enchantingly scored, and spilling over with surreal fancies, this enticing phantasmagoria from director Jaromil Jireš is among the most beautiful oddities of the Czechoslovak New Wave.<LF>","","Collection:Valerie and Her Week of Wonders","0:08",""
"Resurrecting the Avant-Garde","0","In this interview, conducted in 2015, film historian Peter Hames, author of “Czech and Slovak Cinema,” unlocks the surreal charms of VALERIE AND HER WEEK OF WONDERS.<LF>","","Collection:Valerie and Her Week of Wonders","16:00",""
"Jaroslava Schallerová on VALERIE AND HER WEEK OF WONDERS","0","In this short interview, conducted in 2006 by Pavel Kremen, Jaroslava Schallerová reminisces about her iconic role in VALERIE AND HER WEEK OF WONDERS.<LF>","","Collection:Valerie and Her Week of Wonders","6:01",""
"Jan Klusák on VALERIE AND HER WEEK OF WONDERS","0","Actor Jan Klusák, in this 2006 interview by Pavel Kremen, offers an unusually candid account of his experiences making VALERIE AND HER WEEK OF WONDERS.<LF>","","Collection:Valerie and Her Week of Wonders","5:59",""
"Valerie Project Score, The","0","The Valerie Project, a Philadelphia-based psych-folk ensemble, created an alternate score for VALERIE AND HER WEEK OF WONDERS. First performed in 2006 and recorded in 2007, it has received acclaim as a unique tribute to the film.<LF>","","Collection:Valerie and Her Week of Wonders","1:17:07",""
"More Than a Soundtrack The Valerie Project","0","In this piece, produced in 2015, Joseph A. Gervasi and Greg Weeks, cofounders of the Philadelphia-based psych-folk ensemble the Valerie Project, discuss VALERIE AND HER WEEK OF WONDERS and how it inspired them to create a unique alternate score.<LF>","","Collection:Valerie and Her Week of Wonders","15:34",""
"Uncle (1959)","1959","This early short by Jaromil Jireš anticipates the formal and stylistic experimentation that would characterize VALERIE AND HER WEEK OF WONDERS.<LF>","Jaromil Jireš","Collection:Valerie and Her Week of Wonders","6:18",""
"Footprints (1960)","1960","This early short by Jaromil Jireš anticipates the formal and stylistic experimentation that would characterize VALERIE AND HER WEEK OF WONDERS.<LF>","Jaromil Jireš","Collection:Valerie and Her Week of Wonders","12:24",""
"Hall of Lost Footsteps, The (1960)","1960","This early short by Jaromil Jireš anticipates the formal and stylistic experimentation that would characterize VALERIE AND HER WEEK OF WONDERS.<LF>","Jaromil Jireš","Collection:Valerie and Her Week of Wonders","12:09",""
"Walkabout (1971) (FC)","0","A young sister and brother are abandoned in the harsh Australian outback and must learn to cope in the natural world, without their usual comforts, in this hypnotic masterpiece from Nicolas Roeg. Along the way, they meet a young aborigine on his “walkabout,” a rite of passage in which adolescent boys are initiated into manhood by journeying into the wilderness alone. WALKABOUT is a thrilling adventure as well as a provocative rumination on time and civilization.<LF>","","Collection:Walkabout","0:12",""
"Jenny Agutter on WALKABOUT","0","The following interview with actor Jenny Agutter was conducted in 2008 for Potemkine Productions in France. In it, she discusses how she came to be cast in WALKABOUT and what it was like to work with director Nicolas Roeg and actor David Gulpilil.<LF>","","Collection:Walkabout","20:20",""
"Luc Roeg on WALKABOUT","0","Director Nicolas Roeg’s son Luc played the young boy in WALKABOUT (he is credited as Lucien John). Luc Roeg is now a London-based film producer whose credits include LET HIM HAVE IT, SPIDER, and Nicolas Roeg’s TWO DEATHS. In this video interview, recorded in 2010 in London, he discusses the shooting of WALKABOUT and his father’s work.<LF>","","Collection:Walkabout","20:56",""
"David Gulpilil—One Red Blood","0","This 2002 documentary by Darlene Johnson looks at the extraordinary life of WALKABOUT actor David Gulpilil, who has continued his acting career while remaining strongly rooted in his aboriginal community.<LF>","","Collection:Walkabout","56:22",""
"Werewolf (2016)","2016","With both sensitivity and brutal honesty, the revelatory feature debut from Ashley McKenzie immerses the viewer in the hardscrabble lives of two methadone addicts locked in a toxic relationship. Drifting through life on Nova Scotia’s Cape Breton Island, twentysomething junkies Blaise (Andrew Gillis) and Vanessa (Bhreagh MacNeil) survive by sleeping in tents and harassing residents into letting them mow their lawns for money in order to finance their next fix. Shooting in oblique close-ups that heighten the sense of disorientation, McKenzie doggedly and courageously refuses to romanticize her characters’ lives, capturing the futility, toil, and frustration that define their existence with startling immediacy.<LF>","Ashley McKenzie","Collection:Werewolf","1:19:28","Andrew Gillis; Bhreagh MacNeil; Mark Woodland"
"Ashley McKenzie Interview","0","This interview with director Ashley McKenzie was recorded in 2020.<LF>","","Collection:Werewolf","15:04",""
"When You Sleep (2012)","2012","A young couple’s relationship unravels in a rat-infested apartment in this short film by Ashley McKenzie.<LF>","Ashley McKenzie","Collection:Werewolf","11:40","Winston DeGiobbi; Eve Harlow"
"Stray (2013)","2013","In this jagged childhood portrait tinged with menace, a nine-year-old girl alienated from her family roams her neighborhood’s postindustrial landscape in search of a feral cat.<LF>","Ashley McKenzie","Collection:Werewolf","14:15","Brooklyn Campbell; Susan Kent; Jennie Raymond"
"4 Quarters (2015)","2015","An overworked student finds his life thrown into chaos when he gets involved with a young drug addict.<LF>","Ashley McKenzie","Collection:Werewolf","12:59","Sofia Banzhaf; Andrew Gillis"
"$ (1971)","1971","Warren Beatty and Goldie Hawn make a dynamite duo as, respectively, a fast-talking bank-security expert and a call girl who team up to rob her white-collar-criminal clients of the illegal millions they’ve got stashed in a West German vault. Directed at breakneck pace by Richard Brooks and set to a funky, bass-slapping score by Quincy Jones, this slickly entertaining comic caper delivers a steady stream of hairpin twists, double crosses, and epic chases.<LF><LF>0ms","Richard Brooks","Criterion","2:00:58","Warren Beatty; Goldie Hawn; Gert Fröbe"
"7th Voyage of Sinbad, The (1958)","1958","The eye-popping special effects of stop-motion-animation wizard Ray Harryhausen dazzle and delight in this spectacular adventure fantasy. After a conniving sorcerer shrinks his fiancée (Kathryn Grant) to the size of a thumb, the heroic Sinbad (Kerwin Mathews) must travel to the mythical island of Colossa—where a towering cyclops, a sword-swinging skeleton, and the enormous two-headed bird known as the Roc dwell—to find the secret that will return his beloved to her real size. Shot in glorious widescreen Technicolor and featuring a stirring score by the great Bernard Herrmann, THE 7TH VOYAGE OF SINBAD is the magical stuff of childhood nostalgia for older generations and a captivating discovery for young movie lovers.<LF>","Nathan Juran","Criterion","1:28:20","Kerwin Mathews; Torin Thatcher; Kathryn Grant"
"Abuse of Weakness (2013)","2013","Inspired by director Catherine Breillat’s real-life experiences, ABUSE OF WEAKNESS is a daring exploration of power and sex from a director fearlessly confronting her own demons. Isabelle Huppert stars as Maud, a strong-willed filmmaker whose world is turned upside down when she suffers a stroke. Bedridden but determined to pursue her latest film project, she sees Vilko (Kool Shen), a con man who swindles celebrities, on a TV talk show. Interested in him for her new film, Maud arranges to meet him and soon finds herself falling for Vilko’s manipulative charm as their parasitic relationship spirals out of control.<LF>","Catherine Breillat","Criterion","1:44:18","Isabelle Huppert; Kool Shen; Laurence Ursino"
"Always Shine (2016)","2016","Director Sophia Takal offers a tense and disquieting exploration of female friendship, rivalry, and Hollywood sexism in this provocative psychological thriller. Two friends (Mackenzie Davis and Caitlin FitzGerald), both actors who have experienced vastly different levels of success, leave Los Angeles for Big Sur on a weekend getaway to reconnect. Once alone, however, the two women’s suppressed jealousies and deep-seated resentments bubble to the surface, causing them to lose grasp not just of the true nature of their relationship, but also of their own identities.<LF>","Sophia Takal","Criterion","1:27:58","Mackenzie Davis; Caitlin FitzGerald; Lawrence Michael Levine"
"American Dream (1990)","1990","Fourteen years after her watershed documentary HARLAN COUNTY, USA, cinema-verité pioneer Barbara Kopple returned to the subject of union organizing in this eye-opening look at class struggle and solidarity. When the workers at Hormel Foods in Austin, Minnesota, saw their wages and benefits drastically cut, they organized a strike that would stretch on for over a year of grueling negotiations, hardball tactics, and devastating setbacks. Winner of the Academy Award for best documentary, AMERICAN DREAM goes behind the scenes of a clash between corporate management and everyday people that speaks powerfully to the bitter realities of labor in the United States.<LF>","Barbara Kopple; Cathy Caplan; Thomas Haneke; Lawrence Silk","Criterion","1:38:26",""
"Amy Seimetz Interview","2020","","","Criterion","15:04",""
"And God Created Woman (1956)","1956","The astounding success of Roger Vadim's And God Created Woman revolutionized the foreign film market and turned Brigitte Bardot into an international star. Bardot stars as Juliette, an 18-year-old orphan whose unbridled appetite for pleasure shakes up all of St. Tropez; her sweet but naïve husband Michel (Jean-Louis Trintignant) endures beatings, insults, and mambo in his attempts to tame her wild ways.<LF>","Roger Vadim","Criterion","1:31:42","Brigitte Bardot; Jean-Louis Trintignant"
"Anna Christie (1930)","1930","“Garbo Talks!” Sixteen minutes or so into this adaptation of Eugene O’Neill's Pulitzer Prize–winning play, 1930 audiences got what they were waiting for when Greta Garbo made her entrance and spoke on camera for the first time in her career: “Gimme a whiskey . . .” She stars as the hardened Swedish immigrant Anna Christie, who survived a tragic childhood and has worked as a prostitute to stay alive. Now living in Minnesota, Christie reunites with her father (George F. Marion) and tries to hide her past from both him and Matt (Charles Bickford), the young man with whom she has at long last found love. But when Matt learns her secret, will their love be strong enough to overcome the truth?<LF><LF>-350ms","Clarence Brown","Criterion","1:29:32","Greta Garbo; Charles Bickford; George F. Marion"
"Arabian Nights (1974)","1974","Pier Paolo Pasolini traveled to Africa, Nepal, and the Middle East to realize this ambitious cinematic treatment of a selection of stories from the legendary “The Thousand and One Nights.” This is not the fairy-tale world of Scheherazade or Aladdin, though. Instead, the director focuses on the book’s more erotic tales, framed by the story of a young man’s quest to reconnect with his beloved slave girl. Full of lustrous sets and costumes and stunning location photography, ARABIAN NIGHTS is a fierce and joyous exploration of human sexuality.<LF><LF>+300ms","Pier Paolo Pasolini","Criterion","2:10:55","Ninetto Davoli; Ines Pellegrini; Franco Citti"
"Arizona Dream (1993)","1993","Serbian visionary Emir Kusturica (UNDERGROUND) gate-crashed Hollywood with this singular, marvelously loopy surrealist comedy featuring a remarkable cast that includes Johnny Depp, Faye Dunaway, Jerry Lewis, Lili Taylor, and Vincent Gallo. When his uncle (Lewis) in Arizona invites him to come work at the family car dealership, Axel Blackmar (Depp), a young man from New York obsessed with Eskimos and fish (and, specifically, their dreams), heads West, where he encounters lusty romance with a wealthy widow (Dunaway) and a series of oddball exploits involving turtles, a DIY flying machine, and a strikingly convincing recreation of an iconic set piece from NORTH BY NORTHWEST. Like its title implies, ARIZONA DREAM takes place on its own hallucinatory wavelength, a delirious, anything-goes vision of America as seen through the eyes of one of cinema’s great magic makers.<LF>","Emir Kusturica","Criterion","1:58:59","Johnny Depp; Jerry Lewis; Faye Dunaway"
"Bad Seed, The (1956)","1956","What evil lurks behind the angelic countenance of blonde, pigtailed eight-year-old Rhoda Penmark (Patty McCormack)? That’s the question a single mother (Nancy Kelly) finds herself asking as she confronts the horrifying realization that her seemingly innocent daughter may be a cold-blooded serial killer. Based on Maxwell Anderson’s stage adaptation of the novel by William March, THE BAD SEED puts a shocking twist on the debate over nature vs. nurture as it rips the picture-perfect image of the 1950s nuclear family to shreds.<LF>","Mervyn LeRoy","Criterion","2:09:15","Nancy Kelly; Patty McCormack; Gage Clarke"
"Ball of Fire (1941)","1941","Barbara Stanwyck and Gary Cooper make sparks in this snappy screwball take on the Snow White tale. She’s a burlesque queen with a colorful vocabulary who needs to lay low for a while as the police close in on her gangster boyfriend (Dana Andrews). He’s a nerdy grammarian compiling an encyclopedia along with seven other professors who happens to need an expert in slang. As she spices up his language—and steals his heart in the process—the stage is set for a brains vs. brawn showdown with the mob. The lively direction of Howard Hawks, fizzy script by Charles Brackett and Billy Wilder, and comic chemistry between Stanwyck and Cooper come together to produce one of the most sensational comedies of the forties.","Howard Hawks","Criterion","1:51:42","Gary Cooper; Barbara Stanwyck; Dana Andrews"
"Bamboozled (2000)","2000","With this blisteringly funny, unapologetically confrontational satire, writer-director Spike Lee examined the past, present, and future of racism in American popular culture, issuing a daring provocation to creators and consumers alike. Under pressure to help revive his network’s low ratings, television writer Pierre Delacroix (Damon Wayans) hits on an explosively offensive idea: bringing back blackface with THE NEW MILLENNIUM MINSTREL SHOW. The white network executives love it, and so do audiences, forcing Pierre and his collaborators to confront their public’s insatiable appetite for dehumanizing stereotypes. Shot primarily on unvarnished digital video and boasting spot-on performances from Wayans, Savion Glover, Jada Pinkett Smith, Tommy Davidson, Michael Rapaport, Mos Def, and Paul Mooney, Bamboozled is a stinging indictment of mass entertainment at the turn of the twenty-first century that looks more damning with each passing year.<LF><LF>Please be advised: this film contains offensive racist language and racial stereotypes.<LF>","Spike Lee","Criterion","2:15:58","Damon Wayans; Savion Glover; Jada Pinkett Smith"
"Bear, The (1988)","1988","One of the most extraordinary animal movies ever made, Jean-Jacques Annaud’s THE BEAR combines breathtaking wildlife footage with nearly wordless dramatization to tell the story of an orphaned cub and a wounded adult grizzly who join forces to survive the elements and encroaching hunters in nineteenth-century British Columbia. With its stunning cinematography, Oscar-nominated editing, and remarkable animal performances, this awe-inspiring adventure stands as a singular achievement that speaks eloquently to the dignity of all beings.<LF>","Jean-Jacques Annaud","Criterion","1:36:33",""
"Beat Girl (1960)","1960","An edgy blast of adolescent angst, early rock ’n’ roll, and exploitation sleaze, this X-rated British cult classic follows rebellious teenage hell-raiser Jennifer Linden (Gillian Hills) as she gets her kicks with an unruly bunch of thrill-seeking Soho beatniks in order to get back at a new stepmother she despises. Look out for Christopher Lee as a seedy strip-club manager and a young Oliver Reed in a small role as a drug-addled beat boy.<LF>","Edmond T. Gréville","Criterion","1:28:57","David Farrar; Noëlle Adam; Christopher Lee; Gillian Hills; Oliver Reed"
"Bell, Book and Candle (1958)","1958","The same year that they costarred in Alfred Hitchcock's VERTIGO, James Stewart and Kim Novak teamed up for this imaginative romantic comedy based on the Broadway hit. Novak is Gillian Holroyd, a normal, everyday witch living in 1950s Greenwich Village who uses her supernatural powers to break up the engagement of her old college rival to the publisher Sheperd Henderson (Stewart). But when Gillian winds up falling for the hapless Sheperd, she finds that it may be love's magic that casts the most powerful of spells.<LF>","Richard Quine","Criterion","1:42:38","James Stewart; Kim Novak; Jack Lemmon"
"Beyond the Valley of the Dolls (1970)","1970","In 1970, Twentieth Century-Fox, impressed by the visual zing “King of the Nudies” Russ Meyer had been bringing to bargain-basement exploitation fare, handed the director a studio budget and the title to one of its biggest hits, VALLEY OF THE DOLLS. With a satirical screenplay by Roger Ebert, BEYOND THE VALLEY OF THE DOLLS follows three young female rockers going Hollywood, in hell-bent sixties style, under the spell of a flamboyant producer—whose decadent bashes showcase Meyer’s trademark libidinal exuberance. Transgressive and outrageous, this big-studio version of a debaucherous midnight movie is an addictively entertaining romp from one of cinema’s great outsider artists.<LF>","Russ Meyer","Criterion","1:49:29","Dolly Read; Cynthia Myers; Marcia McBroom"
"Big Gundown, The (1966)","1966","Texas lawman Jonathan Corbett (the inimitable Lee Van Cleef), also known as “Mr. Ugly,” takes on the job of tracking down Cuchillo (Tomas Milian), a Mexican outlaw accused of raping and murdering a young girl. A twisty manhunt—in which Cuchillo’s ingenuity and dexterity help him escape each and every trap laid for him—takes an unexpected turn, however, when Corbett comes to realize that the man he is tracking may be innocent. The subversive commentary on justice, striking widescreen landscapes, and sublime Ennio Morricone score make for one of the finest and most overlooked spaghetti westerns of its era.<LF>","Sergio Sollima","Criterion","1:50:30","Lee Van Cleef; Tomas Milian; Walter Barnes"
"Blondie of the Follies (1932)","1932","Two girls, friends from the New York slums, take very different paths in their quest for fame and fortune in BLONDIE OF THE FOLLIES. Practical working girl Blondie (former Ziegfeld girl Marion Davies, whose real-life experiences informed the script by Frances Marion and Anita Loos) has her head turned by the world of her showgirl buddy Lottie (Billy Dove)—and by Lottie’s suave suitor, Larry (Robert Montgomery). When she is cast in a Broadway show, Blondie strives to keep her friendships with Lottie and Larry on the level, but her conflicting emotions and ambitions prove difficult to reconcile. Director Edmund Goulding deftly balances mirth and heartache, even poking momentary fun at his recent GRAND HOTEL, with Davies and Jimmy Durante riffing on Garbo and Barrymore.<LF><LF>+100ms","Edmund Goulding","Criterion","1:31:25","Marion Davies; Robert Montgomery; Billie Dove"
"Born in Flames (1983)","1983","The film that rocked the foundations of the 1980s underground, this postpunk provocation is a DIY fantasia of female rebellion set in America ten years after a social-democratic cultural revolution. When Adelaide Norris (Jean Satterfield), the black revolutionary founder of the Woman’s Army, is mysteriously killed, a diverse coalition of women—across all lines of race, class, and sexual orientation—emerges to blow the system apart. Filmed guerrilla style on the streets of pre-gentrification New York, BORN IN FLAMES is a Molotov cocktail of feminist futurism that’s both an essential document of its time and radically ahead of it.<LF><LF>Preserved by Anthology Film Archives with restoration funding from the Hollywood Foreign Press Association and The Film Foundation.<LF>","Lizzie Borden","Criterion","1:20:23","Honey; Adele Bertei; Jean Satterfield"
"Born Yesterday (1950)","1950","Judy Holliday pulled off one of the greatest upsets in Oscar history when she beat out both Bette Davis in ALL ABOUT EVE and Gloria Swanson in SUNSET BOULEVARD for the Academy Award for best actress with this bravura performance. Reprising the role that made her a star on Broadway, Holliday plays Billie Dawn, the beautiful but colossally ignorant mistress of crooked, bullying junk tycoon Harry Brock (Broderick Crawford). Fearing that Billie’s lack of social graces will wreck his plans to manipulate a huge international business deal, Brock hires writer Paul Verrall (William Holden) to educate her—a situation that grows complicated when love blossoms between tutor and pupil.<LF>","George Cukor","Criterion","1:42:34","Judy Holliday; Broderick Crawford; William Holden"
"Buck Privates (1941)","1941","Comedy legends Abbott and Costello turn the military inside out in this World War II farce about a couple of con men who accidentally enlist in the army to avoid being arrested—only to discover that their drill instructor is the police officer they taunted on the streets of New York. The film that catapulted Abbott and Costello to stardom and made them one of the biggest box-office draws of the 1940s, this infectiously madcap musical comedy features performances by the Andrews Sisters, introducing their smash hit “Boogie Woogie Bugle Boy.”<LF>","Arthur Lubin","Criterion","1:24:14","Bud Abbott; Lou Costello; Lee Bowman"
"Buena Vista Social Club (1999)","1999","Traveling from the streets of Havana to the stage of Carnegie Hall, this revelatory documentary captures a forgotten generation of Cuba's brightest musical talents as they enjoy an unexpected encounter with world fame. The veteran vocalists and instru-mentalists collaborated with American guitarist and roots-music champion Ry Cooder to form the Buena Vista Social Club, playing a jazz-inflected mix of cha-cha, mambo, bolero, and other traditional Latin American styles, and recording an album that won a Grammy and made them an international phenomenon. In the wake of this success, director Wim Wenders filmed the ensemble's members-including golden-voiced Ibrahim Ferrer and piano virtuoso Rubén González-in a series of illuminating interviews and live performances. The result is one of the most beloved documentaries of the 1990s, and an infectious ode to a neglected corner of Cuba's pre revolutionary heritage.<LF>","Wim Wenders","Criterion","1:45:28",""
"Bullitt (1968)","1968","In the role that made him a superstar, Steve McQueen stars as Lieutenant Frank Bullitt, a hard-bitten police detective assigned to protect the star witness in a congressional investigation. But when the witness is murdered, Bullitt mercilessly tracks a trail of lies and corruption that leads all the way to the halls of power in Washington. McQueen performed his own daredevil stunts in this taut action classic, driving the Ford Mustang in the high-speed pursuit through San Francisco that stands as one of the most iconic and influential car chases ever filmed.<LF>","Peter Yates","Criterion","1:53:46","Steve McQueen; Robert Vaughn; Jacqueline Bisset"
"But I’m a Cheerleader (1999)","1999","One of the definitive queer classics of the late nineties, this cult favorite balances hilariously campy satire with sweet romantic comedy. Natasha Lyonne stars as Megan Bloomfield, a bubbly, all-American high school cheerleader who fantasizes about her fellow squad mates but doesn’t believe she could possibly be a lesbian. When her parents stage an intervention and send her to True Directions, a conversion therapy camp run by the terrifying Mary Brown (Cathy Moriarty), Megan paradoxically discovers her true self. Employing deliberately kitschy production design influenced by John Waters, director Jamie Babbit crafts a subversive send-up of traditional gender stereotypes that, while largely overlooked on its release, now seems positively ahead of its time.<LF>","Jamie Babbit","Criterion","1:25:09","Natasha Lyonne; Clea DuVall; Melanie Lynskey"
"Cabin in the Sky (1943)","1943","Lena Horne, Ethel Waters, Eddie “Rochester” Anderson, and Louis Armstrong lead an all-black cast in this musical fantasy about a man pulled toward temptation as his God-fearing wife fights for his soul. Seriously injured in a barroom brawl, Little Joe Jackson (Anderson) hovers between life and death, dreaming that he is the centerpiece of an epic struggle between heaven and hell. On his side are the prayers of his loyal, pious wife, Petunia (Waters); battling on the side of darkness are Lucifer Jr. (Rex Ingram) and his most powerful weapon, the beautiful and seductive Georgia Brown (Horne). The directorial debut of Vincente Minnelli, CABIN IN THE SKY features a soundtrack of dazzling standards, including “Taking a Chance on Love” and “Happiness is a Thing Called Joe.”","Vincente Minnelli","Criterion","1:38:48","Rex Ingram; Lena Horne; Ethel Waters; Eddie “Rochester”; Louis Armstrong"
"Café au lait (1993)","1993","In the feature film debut by director Mathieu Kassovitz (LA HAINE), a pregnant young woman attempts to determine who is the father of her child.","Mathieu Kassovitz","Criterion","1:34:56",""
"California Typewriter (2016)","2016","A love letter to the analogue pleasures of an increasingly niche technology, this thought-provoking documentary is a rich, affectionate portrait of artists, writers, and collectors who remain steadfastly loyal to the typewriter as a tool and muse. Featuring interviews with high-profile enthusiasts like Tom Hanks, Sam Shepard, David McCullough, John Mayer, and others, it also movingly documents the struggles of California Typewriter, one of the last repair shops in America dedicated to keeping the aging contraptions clicking. As the digital age’s emphasis on speed and convenience reshapes our relationship to technology, CALIFORNIA TYPEWRITER asks us to consider who’s serving whom: human or machine?<LF>","Doug Nichol","Criterion","1:44:22",""
"Canterbury Tales, The (1972)","1972","Eight of Geoffrey Chaucer’s lusty tales come to life on-screen in Pier Paolo Pasolini’s gutsy and delirious THE CANTERBURY TALES, which was shot in England and offers a remarkably earthy re-creation of the medieval era. From the story of a nobleman struck blind after marrying a much younger and promiscuous bride to a climactic trip to a hell populated by friars and demons (surely one of the most outrageously conceived and realized sequences ever committed to film), this is an endlessly imaginative work of merry blasphemy, framed by Pasolini’s portrayal of Chaucer himself.","Pier Paolo Pasolini","Criterion","1:51:33","Hugh Griffith; Laura Betti; Ninetto Davoli"
"Cat People (1942)","1942","The first of the horror films producer Val Lewton made for RKO Pictures redefined the genre by leaving its most frightening terrors to its audience’s imagination. Simone Simon stars as a Serbian émigré in Manhattan who believes that, because of an ancient curse, any physical intimacy with the man she loves (Kent Smith) will turn her into a feline predator. Lewton, a consummate producer-auteur who oversaw every aspect of his projects, found an ideal director in Jacques Tourneur, a chiaroscuro stylist adept at keeping viewers off-kilter with startling compositions and psychological innuendo. Together, they eschewed the canned effects of earlier monster movies in favor of shocking with subtle shadows and creative audio cues. One of the studio’s most successful movies of the 1940s, CAT PEOPLE raised the creature feature to new heights of sophistication and mystery.<LF>","Jacques Tourneur","Criterion","1:12:54","Simone Simon; Kent Smith"
"Chinese Odyssey 2002 (2002)","2002","An Emperor and a princess, both desperate for the life of a free-spirited wanderer, attempt to escape from the royal palace. The princess, disguised as a man, finds herself attracting the attention of a boorish restaurant owner.","Jeffrey Lau","Criterion","1:30:42",""
